Feature,Importance
baseline_a1c,0.47689893363895963
age,0.16728923725404007
risk_percentile,0.11964934258747996
pre_pcp,0.0855436324082056
comorbidity_count,0.08228617898275283
pre_ed,0.025863029289420195
high_ed_ip,0.010485704195237732
has_bh,0.00963233389882131
polypharmacy,0.00953376832338255
has_htn,0.008416502469827029
pre_ip,0.0026974305808449665
has_pulm,0.001703906371028108
has_chf,0.0
